Frame,Vehicle ID,Vehicle,Speed (km/h),Overspeed
10,15,car,58.6,No
11,15,car,67.92,Yes
64,56,car,104.96,Yes
133,124,car,82.88,Yes
134,124,car,87.89,Yes
135,124,car,87.15,Yes
141,133,car,95.04,Yes
142,133,car,95.04,Yes
151,149,car,87.07,Yes
152,149,car,90.86,Yes
153,149,car,90.86,Yes
156,46,car,110.2,Yes
157,46,car,112.47,Yes
175,176,car,100.03,Yes
176,176,car,108.0,Yes
177,176,car,106.85,Yes
179,51,car,158.07,Yes
180,51,car,131.04,Yes
226,253,car,71.46,Yes
227,253,car,79.93,Yes
230,257,car,93.88,Yes
231,257,car,100.86,Yes
232,257,car,100.86,Yes
277,284,car,109.49,Yes
278,284,car,109.9,Yes
324,309,car,61.94,Yes
325,309,car,69.25,Yes
326,309,car,128.8,Yes
349,339,car,103.84,Yes
350,339,car,100.86,Yes
355,346,car,69.15,Yes
429,420,car,78.95,Yes
448,298,car,127.69,Yes
449,298,car,112.47,Yes
450,298,car,114.58,Yes
460,465,car,76.54,Yes
461,465,car,121.02,Yes
481,393,car,137.84,Yes
482,393,car,130.45,Yes
500,417,car,128.9,Yes
501,417,car,124.97,Yes
518,451,car,172.27,Yes
519,451,car,109.73,Yes
526,542,car,82.88,Yes
527,542,car,137.79,Yes
545,458,car,134.8,Yes
546,458,car,185.32,Yes
571,479,car,120.96,Yes
572,479,car,142.78,Yes
597,493,car,129.8,Yes
598,493,car,118.09,Yes
599,493,car,122.29,Yes
644,518,car,134.94,Yes
645,518,car,122.88,Yes
708,644,car,127.38,Yes
730,732,car,108.84,Yes
730,733,car,77.04,Yes
802,789,car,100.09,Yes
803,789,car,108.0,Yes
899,788,car,155.3,Yes
900,788,car,136.85,Yes
927,815,car,140.58,Yes
931,876,car,63.69,Yes
1006,843,car,154.97,Yes
1057,991,car,63.69,Yes
